x,y
-11.7673,6.1297
-9.9971,7.3406
-12.5534,6.2580
-11.1306,8.0086
-9.6852,10.1164
-9.4518,9.3234
-10.7873,8.3432
-10.3312,8.9671
-11.7619,6.8600
-10.7643,9.5478
-6.8418,15.2885
-11.3231,8.3414
-13.2332,5.5197
-10.1421,9.9497
-10.9892,6.3526
-9.9881,9.5731
-9.9774,12.3991
-9.5368,10.7036
-10.7828,7.0666
-9.7164,10.9042
-9.5254,12.6003
-7.1517,13.1505
-9.6465,11.1999
-8.2277,12.4793
-8.3084,13.5019
-8.8155,11.8150
-10.0069,11.3907
-9.7600,9.9516
-9.9266,9.7812
-9.4711,11.4472
-9.4271,11.5279
-9.9364,12.1751
-10.3931,9.7228
-7.9612,13.3654
-8.9655,11.9252
-10.7482,8.4096
-11.8689,7.8789
-10.7811,9.3141
-9.3134,12.0072
-9.6261,10.6514
-8.2651,12.2608
-11.2663,9.3948
-10.7319,6.3396
-11.3989,7.5273
-8.2953,12.0201
-8.9560,10.5513
-9.7559,9.3073
-10.0522,9.0594
-9.1417,9.5246
-9.9453,9.6269
-12.7513,6.3186
-8.1145,12.4684
-7.7483,12.0133
-9.9040,11.0732
-11.4177,5.5163
-11.6360,5.7803
-8.1115,11.3555
-9.3110,10.3690
-11.1292,8.0156
-10.2338,8.4542
-10.9543,9.4746
-9.6856,9.0264
-9.3003,11.5218
-8.6151,10.4606
-10.5493,8.4603
-8.8809,11.5081
-9.2344,11.4326
-8.9632,11.1869
-10.7428,8.8210
-10.9730,9.4312
-8.1272,13.0745
-9.8760,9.4828
-12.1908,4.6690
-8.4405,11.6669
-8.7611,12.9284
-9.0894,9.7112
-9.5742,11.8007
-10.2137,10.3786
-11.7793,7.8669
-8.9369,12.5625
-8.5061,10.5746
-11.0134,7.9494
-8.2256,12.4039
-9.6399,12.5287
-11.1671,7.3815
-10.8690,7.9518
-11.2702,8.3346
-8.5175,12.0367
-9.4422,11.8913
-9.4848,10.9688
-10.2760,11.1050
-10.3672,11.9390
-11.4759,9.0706
-8.7461,12.3462
-8.4257,11.1887
-8.4318,12.6944
-10.5253,10.3802
-10.6656,8.9256
-10.4573,8.1423
-11.7552,5.0394
-9.7060,10.8494
-10.9040,7.4845
-11.4997,9.0425
-10.3325,10.2392
-10.3592,9.4269
-10.8579,7.9750
-11.1019,8.4384
-9.1492,12.1217
-9.7964,9.9402
-12.5337,5.1839
-9.1052,12.1301
-9.2498,10.8683
-8.2553,13.2758
-10.0610,9.6067
-9.4515,11.3365
-8.6563,13.1675
-9.1935,11.0543
-8.3334,12.2720
-12.6708,7.3322
-10.1444,8.9176
-9.4845,11.4626
-9.9973,10.3594
-10.4727,11.0853
-10.7559,7.2643
-9.8096,12.1096
-10.8601,9.0328
-10.3135,9.7777
-10.4308,8.3464
-9.8668,11.9011
-7.9419,13.2270
-8.9245,12.6685
-9.3623,11.2873
-7.7542,14.0888
-10.5397,8.8583
-9.6067,10.6395
-11.7945,9.8507
-11.9856,5.7224
-9.4647,11.4930
-10.6058,8.9746
-6.7355,13.8148
-9.3801,9.9774
-8.4818,11.0888
-10.0219,9.2338
-8.2473,11.9259
-10.1331,8.1961
-9.5357,11.4639
-13.0791,5.3467
-9.2949,10.0021
-9.8247,9.6434
-9.3754,10.7595
-7.7389,12.3707
-10.1999,10.4250
-10.9657,8.6932
-9.1719,13.1921
-10.8494,8.5583
-9.3263,10.0123
-9.1025,12.5927
-9.5259,10.7983
-10.0928,10.1629
-9.9837,10.1589
-9.5956,11.7436
-10.7394,9.6395
-8.8648,12.5518
-8.7253,9.7645
-8.7566,11.2663
-11.4103,8.7052
-11.4368,8.6483
-6.7467,15.5274
-7.8272,13.6370
-8.4307,11.0404
-11.4094,7.8322
-9.8263,11.7774
-9.6461,11.0131
-9.5180,10.7394
-10.4732,8.6753
-9.8504,11.9972
-11.8537,7.2596
-9.5283,11.5258
-8.1827,14.0588
-9.1643,10.8674
-10.7751,8.5068
-10.8709,7.9229
-9.9042,9.9927
-9.9803,10.5075
-10.2517,10.8581
-10.7957,9.6527
-11.0577,8.2652
-9.8145,9.7690
-11.4807,9.0240
-9.3411,10.2188
-7.9225,13.5297
-7.9891,15.0782
-10.8500,10.3377
-9.6208,12.4788
-11.7533,6.4372
-10.7395,8.8445
-10.3943,11.1651
-10.0463,10.8166
-10.3984,7.8777
-11.2160,6.6505
-9.8777,11.5620
-10.6792,8.2717
-7.8596,13.6882
-10.8773,8.2449
-10.1876,10.6002
-8.0011,12.8874
-9.7699,10.7196
-11.5939,6.1246
