Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
categorical,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
1895,12.2,11.8,21.3,38.1,53.3,62.7,63.2,61.6,55.6,39.3,32.6,20.7
1896,10.4,13.7,20.9,38.3,50.8,58.9,64.8,61.7,52.8,41.3,31.4,15
1897,12.8,16,23.4,38.3,49.5,55.2,65.1,61.2,52.9,44.5,30,18.7
1898,9.4,19.2,29.8,36.2,50.4,58.8,64.8,64.1,55.9,44.3,32.4,16.6
1899,11.7,11.9,21.7,39,49.8,59.8,63.8,62.4,53.1,45.6,30.4,22.7
1900,13.9,15.5,21.6,39.5,46.7,61.1,64.8,63.7,56.3,48,32.2,15.6
1901,11,11.1,23.8,40.4,50.8,60.8,65.5,63.3,56.1,43.9,26.3,19
1902,12.5,16.7,32.2,39.2,47.9,55.1,61.3,60,55.6,43.8,34.3,14.7
1903,13.4,16.7,32.7,38.9,51.6,56,61.3,57.3,56.2,43.8,29.4,14.3
1904,5.9,7.5,23.8,36.5,53.9,58.2,65.1,60.2,51.1,41.6,26.6,7.8
1905,7.3,9.5,23.6,38.2,49.1,57.2,65.1,60.2,53,42.7,29.8,19
1906,19,15.5,18.6,35.7,47.9,58.9,64.9,64.2,54.7,44.1,30.7,12.9
1907,7.6,7.2,22.7,35.1,45.2,58.5,64,60.9,54.1,40.4,31,22.5
1908,15.4,12,23.5,35.2,51.3,61.5,66.8,61,58.3,46.6,31,14.4
1909,12.5,14.4,23.5,35.6,48.6,59.9,62.4,61.7,54.6,45.1,34.3,19.4
1910,17.4,14.1,29.5,43,49.4,57.4,65.6,61.4,53.4,44.1,31.4,14
1911,12.7,9.6,20.5,36.3,56.5,59.3,68.4,62.6,52.2,42.4,29.6,23.5
1912,5,13.5,21.8,36.5,51.4,57,64.7,58.4,53,45.9,32.8,21.9
1913,20.9,11,28.2,40.3,47.5,57.6,65.1,61.8,53.2,49.6,34.7,22.1
1914,8.8,5.6,25.8,33.6,52.2,56.7,62.5,61.4,55.4,45.9,28.4,15.5
1915,15.9,19.9,24.8,40.6,48.3,58.5,63.4,61.8,57,45.7,32.9,22.1
1916,15.7,12.2,18.3,39.2,50.1,57.8,66.4,64.5,55.9,44.3,28.6,19.3
1917,11.7,8.5,24.4,36.5,43.5,58.2,66.4,65,52.3,42,26.8,8
1918,5.8,9.7,22.2,39,53.7,55.6,65.1,62.3,52.2,44.3,32.6,19
1919,15.6,18.1,28.4,37.3,50.4,62.3,66.3,60.8,53.5,42.3,30.9,12.4
1920,3.8,13.6,26.3,35.9,49.8,59.6,64.1,65.8,56.1,49,27.8,20.4
1921,15.2,15.3,31.8,42.8,52.5,59.7,70,61.1,57.1,44.4,26.7,16.6
1922,9.7,13.4,28.2,39.6,52.3,61.3,64.7,63,55.3,42.9,31.2,13.5
1923,8.8,5.9,17,34.7,49,59.5,62.1,59.2,55.5,45.2,33.4,26.4
1924,13.1,9.5,27.6,35.9,47.4,57.6,65.2,62.6,53.4,45,33,13.7
1925,5,21.4,29.2,38.6,47.2,60.4,63.1,63.1,52.7,36.7,30.5,17.8
1926,12.2,12.6,18.4,31.8,46.6,56.8,63.5,61.6,53.2,42.9,31.8,14.2
1927,15.4,14.1,28.1,38.4,46.5,55.8,65.1,60.1,55.2,46.6,35.4,21.9
1928,13.8,13.5,23.4,35.7,49.3,57.2,65.3,64.7,51.5,43.6,30.1,23.5
1929,12.6,14.7,26.9,36.8,50.6,59.8,64,60.6,56,43,31.1,15
1930,13,15.2,25.3,36.4,51.2,65.2,64.4,61.7,57,45.3,33.9,19.2
1931,12.4,17,31,41,52,59.9,67.6,62.8,55.7,46.8,37.2,21.3
1932,22,13,22.7,37.9,51.3,59.6,62.9,65.2,56.5,46.6,29.6,23.2
1933,21.9,19.8,23.4,38.4,51.1,61,63.6,63.1,55.5,43.4,24.3,9.6
1934,10.2,4,23.4,39.9,52.7,59.3,65.2,60,59,41,34.1,13.9
1935,7.3,12,24.1,37.9,48.2,60.3,67.4,65.1,52.8,44.1,34.3,15.4
1936,13,10.2,32.6,37,51.2,61.3,62.5,61.1,54.4,42.8,26.4,20.3
1937,20.3,20.9,22.4,39.1,53.6,60.9,67.8,68.8,56.4,43.6,32.4,16.9
1938,12.4,15.4,24.6,40.6,49.3,63.3,65.9,66.1,53.2,46.7,33.4,21.4
1939,12.6,14.2,19.2,34.8,49.6,59.6,66.6,67,54.5,43.4,28.8,19.5
1940,9.6,16.4,23.6,35.7,51.5,58.8,65.6,62.8,54.9,40.7,31.3,17
1941,11,18.9,23.4,42.6,51.6,61.5,66.6,60.7,55.5,42.6,32.8,21.5
1942,12.2,14.4,31.2,40.1,54.6,61.9,64.8,63.4,56.5,46.1,31.4,14.1
1943,9.6,17.8,22.9,33.7,50.3,60,66,62.1,54,45.3,31.6,12.7
1944,16.1,13.7,23.1,34.9,54.7,59.7,65.6,67.3,56.7,43.4,34,16.3
1945,9.6,16.6,32.6,43.6,47.8,58.9,65.7,64.2,57.1,41.9,31.6,15.9
1946,12.6,11.5,34.2,36.8,50.3,60.1,63.9,62,57.7,47.3,33.5,18
1947,13.9,18,27.5,34.7,48.2,58.3,68.8,66.1,55.9,50.1,31.2,15.9
1948,9.9,9.6,23.6,38,48.7,57.3,65.8,65.3,56.2,43.7,38,23.4
1949,18.6,17.3,26.6,41.7,51.3,63,67.8,65.2,54.5,47.6,29,23.1
1950,18.1,11.6,21.8,37,52,60.2,64.8,62.2,51.1,44.6,37.3,23.3
1951,17.7,19.8,27.5,41.5,51.5,58.8,65.1,62.7,55.8,45.4,30.1,18.1
1952,15.6,19,27.6,40.4,48.9,61.7,70,64.6,56.1,42.1,33,22.8
1953,19.8,20.1,28.4,41,52.1,60.9,65.4,62.7,56,45.7,37.7,27
